,CAL27,COLO201,SCC25,PANC0403,ASPC1,SKLMS1,SKMEL24,LI7,LMSU,SW1573,MKN45,CHAGOK1,SUM159PT,WILL1,LS411N,KMS26,HUH1,HCT116,COV434,SUDHL10,HUH7,HEPG2,SW620,G401,SUDHL4,TE5,MDAMB468,HCC15,OVISE,SUIT2,HS294T,A2058,THP1,SKUT1,TE11,HARA,SKHEP1,PANC1,A375,NUGC3,MDST8,NCIH2170,A549
TMEM140,0.6913376686843444,0.8763306470517545,0.46325408630999654,0.22053395425819988,0.7022394442210145,0.727550540299772,0.7757046694745544,0.693551464717479,0.4752711487942538,0.5794242073570566,0.41234923155339853,0.6216899664132749,0.5304225172687698,0.5452231203375242,0.6811592439051528,0.7899149230556637,0.6220419518123461,0.5011843889957555,0.5148969820421878,0.8338687843650712,1.0000000000000002,0.5842434094984359,0.7163252946324248,0.5078598336108373,0.5838446846522958,0.0,0.6893865018640739,0.5913331350033098,0.5882023973468289,0.4895633015740295,0.9016840900755689,0.6976568231048319,0.6035442402334652,0.5666142321833187,0.5011843889957555,0.7630895359520853,0.3612351942977534,0.4006157612289658,0.6411190920027592,0.12668887580752486,0.5893801828632337,0.6414488785448833,0.557625550245789
MX1,1.0,0.918139831409586,0.0,0.7276848490244595,0.5506528016489967,0.3827464094386064,0.6027451087672466,0.43552119915163084,0.6228466733044211,0.31388413178478913,0.4193894783418716,0.6921241610367138,0.2651077416402903,0.7281213054042128,0.5460402406175058,0.31227717238357355,0.10248557985804425,0.12270230002307628,0.06132239181026093,0.0804552773445755,0.3501943937478448,0.3336341591418997,0.49879831184470763,0.006198706334918598,0.06624248486717625,0.8215977860770193,0.923409739307319,0.827796895302603,0.47355026097234315,0.3975401311612034,0.7165334265165358,0.5396444593001957,0.43552119915163084,0.49045643006386347,0.5156621261926387,0.6355098482576209,0.24357991539292126,0.4148724326984842,0.5227328697906797,0.5325167898866823,0.27702065876324466,0.3641710889279005,0.08950305270955212
DDX60,0.9999999999999999,0.7515886096093435,0.8645608331993311,0.8144854082189075,0.9082678571360931,0.5548620423835894,0.696240450201017,0.4088008857656089,0.6399003039573332,0.45718030377866203,0.49119696165493354,0.4627425097738339,0.6118035363967991,0.19471398449930497,0.15099886989474484,0.007235786539751619,0.1717750332079939,0.6141181197192117,0.6507887522329899,0.047336881423583256,0.10901923610660631,0.0,0.007235786539751619,0.04101759213087575,0.014303110048500493,0.6860727984337832,0.649332705393101,0.5723801377684798,0.7257604796124779,0.6046502859393038,0.48834675030011077,0.5404315051852046,0.6252064551251385,0.2320722643162323,0.6629587792709599,0.7103561466043978,0.5555198873971687,0.48738687316945173,0.3492297300163739,0.5439783114303849,0.39694630283720833,0.3027076267749337,0.41023570668316167
USP18,0.994924239161759,0.96231185940252,1.0,0.8420501826048913,0.6942712749497417,0.6264106465026782,0.7352738654082305,0.7146043023785403,0.34031389303637494,0.6774947049876747,0.7644575450637376,0.7861704730127372,0.34886741169122837,0.678372882591867,0.8346615305039666,0.020237092840420842,0.5766922248035347,0.7539133499647962,0.926284731897216,0.1347190497802837,0.8425191770154664,0.9324693624718148,0.6974404063531496,0.24714412813069603,0.0,0.8246003924061014,0.9429746156061631,0.9772975142584448,0.6524855066585764,0.8116983231814917,0.726255799140321,0.5301304337633796,0.5568431724004135,0.6608942380914445,0.7711173283902032,0.9477753468702961,0.6752799169313111,0.7272458611443989,0.6647192460019782,0.7317895254953768,0.5862786593911244,0.7371437576843022,0.7405174553162336
CSF1,0.8479577593200698,0.07060400058607967,0.8018973755466534,0.24048370612514522,0.6175102804776443,0.6038610682054203,0.89662682474346,0.8811954848676047,0.9125518808154479,0.49522750284344685,0.05586689602155415,0.07999147930660179,0.8513316805341523,0.39749991847189947,0.2586715542577369,0.5171339140438842,0.775887989728641,0.3908454685270333,0.6403513155995088,0.07999147930660179,0.7102472819336733,0.5559487610382214,0.023725485044475025,0.7210568527120507,0.0,0.7929260593437448,0.762137948970499,0.6903227970992128,0.48035806900240097,0.500694186341498,0.8218384482293196,0.5600656498323278,0.28337575116926295,0.8009890564222354,0.610285845675798,0.2206701929438256,0.5870452499369814,1.0,0.5832891834721103,0.5702599523828471,0.7039670969132537,0.2154321959272039,0.7315977866750012
SAMD9,1.0,0.7996000667332274,0.7646547167861775,0.7698261757598166,0.8263493206669276,0.7150672463370172,0.7046701353111914,0.1485732634030636,0.5964022205988885,0.3847416443874953,0.09654462006476533,0.5943821787081078,0.43631313648859793,0.754435767259769,0.10596184273342017,0.741901481600186,0.41871370073234804,0.5789811476839971,0.006686383647045158,0.43840063668931095,0.21085517008042345,0.049586325437039266,0.43735983232303555,0.0,0.40310020312113576,0.6618183883521201,0.6751094919072578,0.7116372915833894,0.43420183275175206,0.5308823421146963,0.6350017601702046,0.5598366572097335,0.6322032742213995,0.5333035789869289,0.7980157001640017,0.5972026716354222,0.6445258104511127,0.4198633319157833,0.6234627659928969,0.35355957125868165,0.40310020312113576,0.40184482642995495,0.5881540171530371
TDRD7,0.8670180755344652,0.7693928670479231,0.710047917722398,0.6074914814002248,0.7601293489354886,0.7206314105415295,0.5999340495801828,0.7323236676485858,0.6300621423396457,0.7925126506271889,0.5125795721657358,0.519177787632846,0.509506822945728,0.5032166977023784,0.6726297269453481,0.48378926106972037,0.6822716237298663,0.6488991998969336,0.626770949292476,0.1629761898182106,0.728942228395951,0.649483469877504,0.45114749460491094,0.030516192984133272,0.0,0.7397165601128006,0.7658970748647578,0.7380283348061734,0.7013050440927175,0.6897849058201522,0.6540874904811627,0.6227388406766645,1.0,0.3365068813749951,0.5430425377934291,0.6692881900102428,0.5261343950972244,0.6897849058201522,0.5409414764467664,0.587150187161096,0.5716245662623871,0.49137731786434985,0.7650458476429935
STAT2,1.0,0.8463055991191255,0.7708346049838815,0.4814881594271223,0.4989625512636473,0.9263318068370836,0.7919002600188669,0.4989625512636473,0.6262468852188601,0.36504996677895907,0.5917515638830073,0.6496487475360442,0.2809521972235016,0.767987835797975,0.4093469231274631,0.9975937036326812,0.4308574967164258,0.3607515864449815,0.6309936507776803,0.6014480790379024,0.5053305722608834,0.33773425592559114,0.4153106449778292,0.4156218761620365,0.75138505138105,0.8913148185536253,0.5344361719532587,0.7401680610613752,0.7633335216614419,0.4364852389935212,0.8874884541862222,0.4068068567541241,0.7411282031393753,0.6369988565713247,0.5664316794025583,0.3990806721899465,0.43912109736010096,0.16634446853943796,0.4669209515965105,0.27244531167052966,0.6146071153564527,0.0,0.08049257440879387
CD47,0.9999999999999999,0.737364301043064,0.8820592730863981,0.8902518862264943,0.8884435264563839,0.838328631400257,0.8508612390162594,0.8551092316684167,0.844919679830622,0.7897257314158508,0.8849633184547748,0.8782809708589654,0.7721343741301323,0.8066789142987476,0.8838401447570596,0.872447725461533,0.7248767210670014,0.7615405447406248,0.5643334397356833,0.8342955912843567,0.6666630041780361,0.2247689916800359,0.6513290920043945,0.0,0.6966569886932094,0.8902883809935164,0.8776178168611319,0.6841797469932756,0.9085759870382023,0.9120969576446206,0.786985126146735,0.8060797248975734,0.794020235501126,0.8479504737890269,0.8734657304551863,0.822755940853779,0.6954601382719997,0.9272095678460858,0.7369856294209806,0.8054448655353299,0.8218254220386503,0.566969692846399,0.78010876316334
PNPT1,0.4347958925683306,1.0,0.31198499199219976,0.4413067344960302,0.2645214491652288,0.5268875303596405,0.5127963184969833,0.42122142491184844,0.5972946592017347,0.7359399501074502,0.8510203090094777,0.6861728251713131,0.7363128979161275,0.6284565250867562,0.5115835565444113,0.7449628167988371,0.6660230894262815,0.702057844995716,0.39982555831811206,0.0929713595927586,0.7163653206557843,0.6680678049239774,0.7724524106919701,0.635969255835307,0.0,0.29705618643425025,0.6900257390298923,0.635597317848398,0.32970964134893155,0.7944422756253751,0.631103831530786,0.8261931573170265,0.6470721677461513,0.8760070575810146,0.3269468191395677,0.7135902450528286,0.8094957357351173,0.8619641106597613,0.7843960662706992,0.44005500252223984,0.23620363373183384,0.8207199907366522,0.7631887175037861
TRIM5,0.9467687290347326,0.8995819919079824,0.8526377498030131,0.7906379249588984,0.8979446821886725,0.9688319570746555,0.9980930791456126,0.8019981845257191,0.9122816680177241,0.8991365902780726,0.5880960989069102,0.31789112293775457,0.6240968216486869,0.8102998429628652,0.4664984644107846,0.7539495034964916,0.7748140897869056,0.7685534941054657,0.9838473815704016,0.7330047216586892,0.9489318701109002,0.5203925803778866,0.6170728039377544,0.5682596115773402,0.0,0.8502762687169656,0.8869354191521759,0.9445846427380469,0.6552568728920256,0.6556445307992089,0.9225809293771552,0.646187940257787,0.578600500734445,0.9931533599607945,0.810943606603526,0.630527154983133,0.9806554850403142,1.0,0.6786725433122907,0.6884687197614152,0.9447065366950642,0.6972584144519194,0.8659981235071579
