,Gene,log2FC,p-value
11328,TRPC1,0.6618512732954451,0.029160301204812507
5972,RHOQ,0.6581352815788479,0.061084319949602964
8843,KCNE4,0.6577282015394748,0.22157845943918072
7854,RBMS1,0.6556079775714347,0.09646353248329605
12974,SPATA18,0.6553294713316798,0.14064467525134672
6889,LMAN2L,0.653516368187046,0.04549487699062904
12792,KLHL5,0.6533640114057673,0.1195279753899868
14708,FAM149A,0.6531964434630929,0.11165053592323433
2417,CELSR2,0.6527026749772691,0.33888138714368127
12972,SGCB,0.649396719770698,0.04612755722501791
14246,DCLK2,0.6489219226989088,0.24908469741255787
4457,KCNH1,0.647558943565611,0.057281733452732686
3327,C1orf85,0.647057360165876,0.21302729743529933
16573,PDLIM4,0.6470160959709671,0.45368378163637524
16144,ERAP2,0.6469190824786537,0.5108835848947739
10295,PRICKLE2,0.6463358077332109,0.08629172398581865
14723,RP11-11N5.3,0.6457996715183653,0.3979166025239156
258,TNFRSF9,0.6447183149134885,0.22055824097993024
10008,LAMB2,0.6437700959657819,0.16352663806155468
547,RP11-108M9.4,0.64251485566307,0.11476604979946642
6897,FAM178B,0.6421233362115981,0.2576057861697119
10011,KLHDC8B,0.6419851846825533,0.12888933025381982
7949,BBS5,0.6415514465613752,0.005972159230331203
11561,PTX3,0.6406847042846309,0.5773018648666788
8463,BMPR2,0.6404218296287807,0.029958011210691568
13424,FGF5,0.6363541512076256,0.40630181856581926
15326,FYB,0.6341117208762086,0.2279306388793586
13671,RP11-499E18.1,0.6316354392874526,0.03362502589494602
2041,MCOLN3,0.6271571409052479,0.14245848647926518
3895,ABL2,0.6266848285700015,0.09538302399943173
13494,ARHGAP24,0.6266081244401069,0.12330107346755541
14039,PCDH10,0.6259780221819371,0.34793964272847516
5393,HPCAL1,0.6234189379662229,0.3620956612352913
8875,COL4A4,0.6231091353171394,0.4286218910015449
11367,PLSCR1,0.6202824850807938,0.14128447691621082
5930,AC011242.6,0.6202534293058841,0.217225912036704
4360,RAB7L1,0.6195805500720635,0.06114128185107751
12197,NRROS,0.6167117021337337,0.3238269791430955
